Datetime,baro_level_psi,baro_temp,level_level_psi,level_temp,EC,ECT,PrbTmp,RTCTmp,week,dayofyear
2017-02-01 16:00:00,14.7795,-1.304,11.1951,-0.011000000000000001,4.9616216216216245,8.830000000000005,2.3700000000000028,-0.8175675675675675,5,32
2017-02-01 16:15:00,14.7785,-1.307,11.1972,0.006,4.526277777777776,8.054666666666678,2.370000000000004,0.4208333333333333,5,32
2017-02-01 16:30:00,14.777999999999999,-1.3090000000000002,11.1948,0.031,4.456111111111111,7.930277777777783,2.3673333333333373,0.6680555555555555,5,32
2017-02-01 16:45:00,14.7782,-1.308,11.1928,0.052000000000000005,3.76605555555556,6.7105000000000095,2.3286666666666735,0.7472222222222222,5,32
2017-02-01 17:00:00,14.7782,-1.34,11.1909,0.069,3.740166666666661,6.6706666666666665,2.295333333333338,0.7513888888888889,5,32
2017-02-01 17:15:00,14.7785,-1.347,11.1955,0.086,3.746444444444448,6.686277777777788,2.2771111111111155,0.7430555555555556,5,32
2017-02-01 17:30:00,14.7785,-1.355,11.1925,0.10099999999999999,3.670277777777776,6.55344444444444,2.2660000000000013,0.7458333333333333,5,32
2017-02-01 17:45:00,14.7769,-1.453,11.1936,0.11800000000000001,3.5537222222222216,6.348555555555558,2.24644444444444,0.7277777777777777,5,32
2017-02-01 18:00:00,14.7769,-1.4569999999999999,11.192,0.128,3.2870555555555536,5.871777777777781,2.248222222222225,0.6083333333333333,5,32
2017-02-01 18:15:00,14.7758,-1.516,11.1912,0.146,3.7860555555555533,6.75,2.310000000000004,0.5277777777777778,5,32
2017-02-01 18:30:00,14.7751,-1.6159999999999999,11.1921,0.17,5.197722222222218,9.251166666666675,2.36466666666667,0.5694444444444444,5,32
2017-02-01 18:45:00,14.7769,-1.68,11.1924,0.19399999999999998,5.273388888888884,9.384722222222226,2.370000000000004,0.5388888888888889,5,32
2017-02-01 19:00:00,14.7767,-1.585,11.1978,0.212,5.262666666666666,9.365777777777772,2.370000000000004,0.5013888888888889,5,32
2017-02-01 19:15:00,14.7749,-1.676,11.190999999999999,0.22399999999999998,5.267333333333332,9.373944444444444,2.370000000000004,0.4555555555555556,5,32
2017-02-01 19:30:00,14.7772,-1.7380000000000002,11.1924,0.23199999999999998,5.273611111111106,9.385166666666676,2.370000000000004,0.2791666666666667,5,32
2017-02-01 19:45:00,14.7723,-1.742,11.1912,0.233,5.2982222222222175,9.4288888888889,2.370000000000004,0.25,5,32
2017-02-01 20:00:00,14.7707,-1.7890000000000001,11.1866,0.233,5.307388888888887,9.44505555555556,2.370000000000004,0.25555555555555554,5,32
2017-02-01 20:15:00,14.7709,-1.868,11.1843,0.22699999999999998,5.311333333333331,9.452444444444454,2.370000000000004,0.25,5,32
2017-02-01 20:30:00,14.7706,-2.024,11.187999999999999,0.22,5.3134444444444435,9.456111111111124,2.370000000000004,0.1930555555555556,5,32
2017-02-01 20:45:00,14.7718,-2.12,11.1892,0.215,5.319111111111113,9.466555555555571,2.370000000000004,0.23472222222222225,5,32
2017-02-01 21:00:00,14.7724,-2.08,11.1871,0.21,5.318388888888894,9.464722222222234,2.370000000000004,0.2458333333333333,5,32
2017-02-01 21:15:00,14.7688,-2.086,11.1857,0.20199999999999999,5.315722222222224,9.460444444444454,2.370000000000004,0.25416666666666665,5,32
